generations,population,infected_t10,infected_t25,infected_t50,infected_t60,infected_t75,infected_t100,recovered_t10,recovered_t25,recovered_t50,recovered_t60,recovered_t75,recovered_t100,beta,gamma
6,121,24,35,24,24,19,24,121,35,65,65,84,121,0.05342898503672253,0.05756518954343286
12,154,6,28,28,4,0,0,6,52,150,154,154,154,0.22781378659078053,0.20211686470769263
12,71,0,0,0,0,0,47,0,0,0,0,0,71,1.5,0.1
11,261,131,79,9,3,0,0,131,210,258,261,261,261,0.23241408255073887,0.2227743087156549
12,13728,7,2,0,1,49,11337,7,11,14,15,79,13728,0.01000109114196378,0.9999996468813374
12,16690,8107,2092,134,42,2,3,8107,15173,16635,16677,16685,16690,0.7572705417284523,0.6686396277860627
12,2427,413,456,72,106,5,2,413,1315,2290,2396,2406,2427,0.17087624552106176,0.16022364200659908
12,288,3,89,35,15,3,1,3,143,260,275,281,288,0.47156678702005467,0.40813231308245024
12,367,0,28,50,11,19,75,0,31,148,159,198,367,1.5,0.1
12,356,17,64,24,35,7,33,17,130,231,266,300,356,0.22135815779063847,0.2042000450916392
12,1069,83,146,44,51,39,170,83,325,608,659,760,1069,0.010202473434272639,0.01
12,4001,543,654,225,337,126,76,543,1651,3110,3447,3752,4001,0.13737212125646844,0.13163222287353152
12,2263,115,317,159,107,107,262,115,602,1426,1533,1741,2263,0.18733801962448246,0.17426666729089998
12,5479,316,339,257,355,835,469,316,961,2002,2357,3574,5479,0.012162661039160479,0.01
12,2410,627,751,12,8,27,9,627,2162,2299,2307,2342,2410,0.23012575562534668,0.21058989366863098
12,203,7,54,4,3,14,25,7,68,104,107,132,203,0.36075228148627964,0.3244809506983359
12,311,20,28,26,27,30,18,20,56,123,150,227,311,0.06359095184396275,0.06055518898700235
12,282,14,16,30,16,26,19,14,48,170,186,229,282,0.027104760725458192,0.025064417069871437
12,247,18,41,14,12,21,14,18,95,144,156,196,247,0.08867746017511151,0.08576423874932998
12,65,0,1,16,2,0,0,0,1,63,65,65,65,1.5,0.1
12,236,0,41,13,23,7,5,0,58,182,205,224,236,1.5,0.1
12,191,14,18,37,15,0,0,14,52,175,190,191,191,0.1767648074472878,0.16070797945736615
12,206,0,0,10,11,0,77,0,1,29,40,48,206,1.5,0.1
12,530,128,55,72,39,1,0,128,242,479,518,529,530,0.058047210683399096,0.06296704188699695
12,101,7,9,16,8,4,2,7,26,76,84,91,101,0.1657535938843765,0.15343584183139644
12,79,4,15,1,0,4,7,4,25,54,54,59,79,0.25426853277566674,0.23131155800659844
12,61,7,10,4,0,2,1,7,21,49,49,51,61,0.15605708057128181,0.14730459359993758
11,78,3,11,17,9,2,3,3,14,59,68,71,78,0.26036945195158456,0.2328790361981856
11,367,26,79,21,34,0,1,26,105,311,345,361,367,0.30368181185013254,0.26454708737695465
12,117,1,9,22,3,14,6,1,16,73,76,101,117,0.01,1.0
12,481,18,66,61,25,10,15,18,169,356,381,405,481,0.2305110608438023,0.21061146597857372
11,60,29,13,1,3,2,1,29,42,48,51,54,60,0.3058285557788641,0.2899592945374535
10,68,1,5,1,5,2,6,1,6,22,27,29,68,0.01,1.0
11,531,12,15,114,193,17,6,12,27,231,424,516,531,0.21044050467175715,0.18590188681798578
12,284,24,47,20,5,2,9,24,117,220,225,239,284,0.11643102710672663,0.11204430042822248
12,760,82,137,44,29,33,59,82,320,526,555,626,760,0.16566274286721897,0.15759133233989045
12,767,132,251,22,17,8,8,132,532,714,731,747,767,0.2102937875390255,0.1930312645743503
12,53,6,13,10,1,2,4,6,25,40,41,45,53,0.029022124344239755,0.03091943407093386
12,98,7,18,3,3,4,8,7,41,67,70,86,98,0.2002406900961804,0.18655155221177133
12,192,3,15,14,7,3,37,3,42,103,110,115,192,0.33792722795499847,0.30873126721892924
12,886,69,48,29,47,58,110,69,275,390,437,531,886,0.01068106761412706,0.01
12,483,266,40,0,1,3,7,266,437,441,442,447,483,0.38776357251488097,0.3385430927090657
12,437,40,57,39,23,14,20,40,185,317,340,366,437,0.17964923378368342,0.16924568294550724
12,482,74,78,26,15,11,28,74,240,377,392,423,482,0.15153182628081943,0.14608255707149867
12,779,32,133,78,21,18,70,32,269,472,493,537,779,0.07080039438803913,0.0668289004882491
8,733,5,246,58,58,39,5,733,383,601,601,706,733,0.24145071933874304,0.22035233877737115
12,70,8,10,6,6,0,0,8,24,63,69,70,70,0.010984462321528736,0.01361344394143985
12,2204,1,144,573,502,0,0,1,183,1702,2204,2204,2204,0.01,1.0
12,2238,455,433,113,53,4,4,455,1403,2153,2206,2218,2238,0.16693677719208502,0.15861080776951744
