sample_idx,beta_true,beta_mean,beta_std,beta_ci_low,beta_ci_high,beta_covered,gamma_true,gamma_mean,gamma_std,gamma_ci_low,gamma_ci_high,gamma_covered,r0_true,r0_mean,r0_std,r0_ci_low,r0_ci_high,r0_covered
327,0.49925247,0.5850123249292374,0.007813218734280623,0.5701120689511299,0.6000389143824577,False,0.51063776,0.5849590579271317,0.007693682414948703,0.5709259897470474,0.6015214249491692,False,0.9777038,1.0000988130569457,0.004586673308788186,0.9916236057877541,1.0071585953235627,False
33,0.50556976,0.5686849346160888,0.009037695229544715,0.5505755499005318,0.5866672962903976,False,0.50995445,0.5686644207239151,0.008769069403015218,0.5516945824027062,0.5855505719780922,False,0.9914018,1.0000624142885208,0.008210510233913766,0.9842024385929108,1.015895739197731,True
15,0.5054527,0.5713133734464645,0.008631178854453017,0.554349060356617,0.5889127448201179,False,0.5046337,0.571284824848175,0.008367586585766576,0.5551859870553016,0.587469483911991,False,1.0016229,1.0000707976818084,0.007438404571155028,0.9855990946292877,1.0139237105846406,True
314,0.77165794,0.5728848549127579,0.00844134629076485,0.5564731955528259,0.5902435481548309,False,0.76731545,0.5728534945249557,0.008185839147310173,0.5573100909590721,0.5888431593775749,False,1.0056593,1.000072790145874,0.006999438367868882,0.9864430472254753,1.0130677700042725,True
57,0.5043782,0.6157594434022904,0.010798447951141685,0.5947605162858963,0.6383171364665031,False,0.5099769,0.6157514066696167,0.010941340668460238,0.5958198100328446,0.6384878322482109,False,0.9890216,1.0000433552265167,0.007251440671354939,0.9868579387664795,1.0126683741807938,True
239,0.8346407,0.8372764195203781,0.0010502433970605973,0.834064619243145,0.8380978167057037,True,0.8363943,0.8371465396881104,0.001247645559511866,0.8342707693576813,0.8380072891712189,True,0.99790335,1.000156389117241,0.0013559318747075589,0.9973450973629951,1.0031293630599976,True
76,0.5139754,0.6741028500795364,0.01876814705325035,0.6397573709487915,0.7126864477992058,False,0.51345474,0.6743333531618119,0.019427070852075783,0.6375839680433273,0.7130674749612809,False,1.001014,0.9998467403650284,0.017901359351022657,0.9633246898651123,1.0336669206619262,True
119,0.7684525,0.6474492764472961,0.015258916814133307,0.6179272279143333,0.6792985111474991,False,0.76913935,0.6475839197635651,0.0156866936917555,0.6181447744369507,0.6779524967074394,False,0.999107,0.9998992446660996,0.013499915084181434,0.9723234415054322,1.0255300909280778,True
305,0.67488074,0.5723430342674255,0.008502872142191626,0.5557283148169517,0.5897762566804886,False,0.67142516,0.5723125911951065,0.008244164421891291,0.5566092908382416,0.5883540958166122,False,1.0051466,1.000072155714035,0.007148840803047591,0.9861268669366836,1.0133812814950942,True
126,0.8326133,0.8381129553318024,2.5124952808897595e-07,0.8381124138832092,0.838113009929657,False,0.83679426,0.838022011756897,8.142457372974357e-07,0.8380216956138611,0.8380221128463745,False,0.9950036,1.0001085345745087,9.350365863911613e-07,1.0001080602407455,1.000108900666237,False
