sample_idx,beta_true,beta_mean,beta_std,beta_ci_low,beta_ci_high,beta_covered,gamma_true,gamma_mean,gamma_std,gamma_ci_low,gamma_ci_high,gamma_covered,r0_true,r0_mean,r0_std,r0_ci_low,r0_ci_high,r0_covered
327,0.49925247,0.5844515562057495,0.005895665736536759,0.5736073240637779,0.5932023465633393,False,0.51063776,0.5847114115953446,0.006816999350268403,0.5714253127574921,0.5943406417965889,False,0.9777038,0.9995783179998398,0.0036356897377812095,0.9930115357041359,1.0065629035234451,False
33,0.50556976,0.5674459367990494,0.0064504760927859,0.5565151467919349,0.5769508883357048,False,0.50995445,0.5686941176652909,0.007379846814417643,0.5532460659742355,0.577389095723629,False,0.9914018,0.9978665560483932,0.009431575053909156,0.9812274172902107,1.0139423877000808,True
15,0.5054527,0.57016119658947,0.005996178638070433,0.5605852514505386,0.578992347419262,False,0.5046337,0.5712518215179443,0.007068261928802403,0.5562486976385117,0.5794583469629287,False,1.0016229,0.9981441468000412,0.008295625826318234,0.9836399510502816,1.0126514911651612,True
314,0.77165794,0.5717497944831849,0.0057974434066797725,0.5626951217651367,0.5802150353789329,False,0.76731545,0.5727524816989898,0.006926069873282106,0.55794607847929,0.5806953474879265,False,1.0056593,0.9982981830835342,0.007646767182615385,0.9850043177604675,1.011835578083992,True
57,0.5043782,0.6163351863622666,0.011015669493479464,0.5953540563583374,0.634515592455864,False,0.5099769,0.6151843279600143,0.010362716821689356,0.5978538572788239,0.6329546630382538,False,0.9890216,1.0018841594457626,0.008052634258888459,0.9877974465489388,1.0147583931684494,True
239,0.8346407,0.8372472763061524,0.0012272860675223418,0.8343768626451492,0.8380882427096367,True,0.8363943,0.8370977163314819,0.0011181724744565027,0.8342943847179413,0.8379937961697579,True,0.99790335,1.000179249048233,0.0012629655093838485,0.9979133367538452,1.002523159980774,False
76,0.5139754,0.6774143308401108,0.02041352965311731,0.6423803195357323,0.7107531875371933,False,0.51345474,0.674303013086319,0.01880229857443289,0.6456625998020172,0.7051669672131539,False,1.001014,1.0047737181186676,0.0217478600285231,0.9661195799708366,1.0404954552650452,True
119,0.7684525,0.6496101826429367,0.016767011246379068,0.6189429849386215,0.6774164929986,False,0.76913935,0.6471934646368027,0.015375613505514543,0.622880770266056,0.6729217186570168,False,0.999107,1.0038066804409027,0.016049051251540637,0.9758229583501816,1.0302689254283905,True
305,0.67488074,0.5712026506662369,0.005865347633885499,0.5620223939418793,0.5798050001263618,False,0.67142516,0.5722351193428039,0.006977215647565572,0.5573647588491439,0.5802777856588364,False,1.0051466,0.998246106505394,0.00786840720604679,0.9845400974154472,1.012120258808136,True
126,0.8326133,0.8381129264831543,2.922579618001579e-07,0.8381122648715973,0.838113009929657,False,0.83679426,0.8380220472812653,1.9231645599276692e-07,0.83802150785923,0.8380221128463745,False,0.9950036,1.0001084625720977,1.82539624762788e-07,1.0001081109046936,1.0001087874174117,False
